created_at,tweet_id,screen_name,rt,fav,text
Mon Sep 26 11:29:03 +0000 2016,780368585520709632,theCricinfoPK,0,0,b'#Zimbabwe A 197 (48.3 ov)\\n\\n#Pakistan A won the toss and\\nelected to field'
Mon Sep 26 11:29:03 +0000 2016,780368581800460288,UmairChPti,99,0,b'RT @ARYNEWSOFFICIAL: Balochs will defend motherland shoulder-to-shoulder with Pakistan army: Bugti\\nhttps://t.co/YFUNyhISL2'
Mon Sep 26 11:29:03 +0000 2016,780368581489889280,indianation1,6,0,"b'RT @DDNewsLive: EAM @SushmaSwaraj to address 71st session of #UNGA  today, focus on isolating #Pakistan globally\\n\\nRead more: https://t.co/9\\u2026'"
Mon Sep 26 11:29:02 +0000 2016,780368580525199360,rsdogra,534,0,"b'RT @minhazmerchant: Indus Waters Treaty: Few know that Mufti Mohammad Sayeed in 2002, then J&amp;K CM, demanded exit from #IWT. Must read https\\u2026'"
Mon Sep 26 11:29:02 +0000 2016,780368579866664960,hadi_rather,4,0,b'RT @MaiPakistanHoon: Oy #RajnathSingh:\\n#india sends #RAW agent&amp; terrorists to #Pakistan\\nWe kill in #ZarbeAzab\\nU just blame\\nWe have proof! h\\u2026'
Mon Sep 26 11:29:02 +0000 2016,780368577891217408,ShankarGhosh12,0,0,b'https://t.co/0vQMAUCClY'
Mon Sep 26 11:29:01 +0000 2016,780368576440045568,being_malik,0,0,b'China again declines to confirm backing Pakistan on Kashmir - Times of\\u2026 https://t.co/aBxJjsJf4g #news #india #topsto'
Mon Sep 26 11:29:00 +0000 2016,780368570601517056,mh12ax1943,31,0,"b'RT @tufailelif: ~ @KanchanGupta: The least India can do is to declare, by law, Pakistan a terror-sponsoring state\\nhttps://t.co/Ykn3otfxmZ'"
Mon Sep 26 11:28:59 +0000 2016,780368566705086464,priyasatya014,6,0,"b'RT @JagranNews: \\u0938\\u093f\\u0902\\u0927\\u0941 \\u091c\\u0932 \\u0938\\u092e\\u091d\\u094c\\u0924\\u0947 \\u0915\\u094b \\u0932\\u0947\\u0915\\u0930 \\u092c\\u0941\\u0932\\u093e\\u092f\\u0940 \\u0917\\u0908 \\u092c\\u0948\\u0920\\u0915 \\u092e\\u0947\\u0902 \\u092a\\u0940\\u090f\\u092e \\u0928\\u0947 \\u0915\\u0939\\u093e, \\u0916\\u0942\\u0928 \\u0914\\u0930 \\u092a\\u093e\\u0928\\u0940 \\u0915\\u093e \\u092c\\u0939\\u093e\\u0935 \\u090f\\u0915 \\u0938\\u093e\\u0925 \\u0928\\u0939\\u0940\\u0902 \\u0939\\u094b \\u0938\\u0915\\u0924\\u093e \\u0939\\u0948\\u0964\\n#IndusWaterTreaty #indi\\u2026'"
Mon Sep 26 11:28:59 +0000 2016,780368566373744640,aboutnews131,4,0,b'RT @Sindhi__Sangat: #Sindhi Nari Sangat protested against #ChinaPakistanEconomicCorridor #CPEC &amp; chanted slogans against anti-Sindh project\\u2026'
Mon Sep 26 11:28:59 +0000 2016,780368566084374528,JawadKPak,1,0,"b'RT @sadamengr: I dont care whether any one fights for Pak or not I will, You may call me Gul Khan but I know  I Am Pakistan Khan.'"
Mon Sep 26 11:28:57 +0000 2016,780368558618357761,khanwarriors,0,0,b'Pakistan Air Force drone crashes near Mianwali: MIANWALI: A Pakistan Air Force (PAF) drone crashed near Mianw... https://t.co/879zxaH4bq'
Mon Sep 26 11:28:56 +0000 2016,780368553874755584,My_life_Ahmad19,1,0,b'RT @iHarOonN: @ASKiPrincesss \\nUs Na Kaha Tha Pakistan T20 m 3-0 say hary ga...\\nODI ma 2-1 sy hary ga \\nTest Drew hoga'
Mon Sep 26 11:28:55 +0000 2016,780368550401671168,Rajendra_Maurya,86,0,b'RT @Amit_smiling: Professional courses in Pakistan be like.... \\U0001f602\\U0001f602\\U0001f602\\U0001f602\\U0001f602\\U0001f602 #viaWA https://t.co/4AoOw7vP4F'
Mon Sep 26 11:28:55 +0000 2016,780368549370093569,crawling_on_web,57,0,"b'RT @AapaZubeda: As an asshole in Canada, why is Pakistan bothering you? https://t.co/Bh3Db99zMK'"
Mon Sep 26 11:28:54 +0000 2016,780368546090086400,koolshahnawaz,10,0,"b'RT @khalid_pk: 1st Cadet college for girls in Pakistan, set up in Nawabshah (Sindh) https://t.co/ZaoVf4uBOB'"
Mon Sep 26 11:28:53 +0000 2016,780368543527219200,rohitagarwal86,11,0,"b'RT @avarakai: How did Nehru arrive at 80% for Pakistan, in Indus Water Treaty?'"
Mon Sep 26 11:28:52 +0000 2016,780368536892039168,aboutnews131,4,0,"b'RT @Sindhi__Sangat: Protest rallies by Sindhi Nari Sangat were also taken out against #CPEC in Hyderabad Husri Kathar, Seri various cities\\u2026'"
Mon Sep 26 11:28:52 +0000 2016,780368536824754176,khanwarriorz,0,0,b'Pakistan Air Force drone crashes near Mianwali: MIANWALI: A Pakistan Air Force (PAF) drone crashed near Mianw... https://t.co/JdvtgHNbCF'
Mon Sep 26 11:28:52 +0000 2016,780368536468422656,NUFCinnocent,213,0,"b""RT @BasimaFaysal: It's the same jihad in Pakistan, India, China, Philippines, Morocco, Egypt, Russia, Burma, Syria.\\n\\nIt's nothing to do wit\\u2026"""
Mon Sep 26 11:28:51 +0000 2016,780368532714426368,luvzzzpk,2,0,b'RT @QudsiaMashhadi: Congress tells Modi to bring own house in order before advising #Pakistan https://t.co/OSKFYYLPOO'
Mon Sep 26 11:28:51 +0000 2016,780368531523153920,sonaliranade,0,0,b'The thing is you just have to fight a bully if only to raise his cost of bullying .. or roll over https://t.co/CQLmzBqFOp'
Mon Sep 26 11:28:50 +0000 2016,780368527983153152,Subhash_ati9,0,0,"b""China has thrown its weight behind Pakistan. I guess that's that. Makes 'strategic restraint' all the more sensible and the right move ATM."""
Mon Sep 26 11:28:49 +0000 2016,780368525449957376,Farhan_Sanai,0,0,b'The current rulers are the biggest corrupt rulers in the history of Pakistan. \\n#NawazBigThreat4Pak https://t.co/4Me0m1y7Eu'
Mon Sep 26 11:28:48 +0000 2016,780368522555879428,ather_cheif,0,0,b'I liked a @YouTube video https://t.co/b2qufFJ4vN Badlega pakistan /David Paul Water Board Pro'
